date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,facial_coverings,vaccination_policy,stringency_index,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
2020-12-27,589.0,272296.0,24620.0,107.0,42622.0,2650.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,8822.0,173.0,189941.0,48016.0,2556944.0,43551.0,25148369.0,34726580.0,609.0,609.0,55.0,55.0,664.0,664.0
2020-12-28,1217.0,273513.0,24645.0,229.0,42851.0,2694.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,2960.0,363.0,190722.0,397738.0,2559904.0,43914.0,25339091.0,35124318.0,683.0,1292.0,42.0,97.0,725.0,1389.0
2020-12-29,1627.0,275140.0,24743.0,251.0,43102.0,2666.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,11395.0,384.0,191806.0,366121.0,2571299.0,44298.0,25530897.0,35490439.0,384.0,1676.0,19.0,116.0,403.0,1792.0
2020-12-30,1404.0,276544.0,24560.0,209.0,43311.0,2652.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,26457.0,303.0,193045.0,399554.0,2597756.0,44601.0,25723942.0,35889993.0,443.0,2119.0,18.0,134.0,461.0,2253.0
2020-12-31,1317.0,277861.0,24407.0,177.0,43488.0,2625.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,19927.0,251.0,194221.0,337208.0,2617683.0,44852.0,25918163.0,36227201.0,440.0,2559.0,23.0,157.0,463.0,2716.0
2021-01-01,677.0,278538.0,24263.0,99.0,43587.0,2609.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,19348.0,133.0,194901.0,33219.0,2637031.0,44985.0,26113064.0,36260420.0,1158.0,3717.0,64.0,221.0,1222.0,3938.0
2021-01-02,646.0,279184.0,24458.0,101.0,43688.0,2632.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,3466.0,156.0,195174.0,229971.0,2640497.0,45141.0,26308238.0,36490391.0,363.0,4080.0,30.0,251.0,393.0,4331.0
2021-01-03,657.0,279841.0,24780.0,101.0,43789.0,2665.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,12489.0,116.0,195386.0,47173.0,2652986.0,45257.0,26503624.0,36537564.0,404.0,4484.0,27.0,278.0,431.0,4762.0
2021-01-04,1262.0,281103.0,24962.0,246.0,44035.0,2657.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,63.89,4022.0,378.0,196037.0,427645.0,2657008.0,45635.0,26699661.0,36965209.0,2109.0,6593.0,49.0,327.0,2158.0,6920.0
2021-01-05,1747.0,282850.0,24871.0,245.0,44280.0,2616.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,20489.0,345.0,197503.0,344235.0,2677497.0,45980.0,26897164.0,37309444.0,7753.0,14346.0,128.0,455.0,7881.0,14801.0
